Genes	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
NRXN3	Q9Y4C0	NRX3A_HUMAN	reviewed	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)	NRXN3 C14orf60 KIAA0743	Homo sapiens (Human)	1643
RIPK1	Q13546	RIPK1_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)	RIPK1 RIP RIP1	Homo sapiens (Human)	671
CCNF	P41002	CCNF_HUMAN	reviewed	Cyclin-F (F-box only protein 1)	CCNF FBX1 FBXO1	Homo sapiens (Human)	786
IL23A	Q9NPF7	IL23A_HUMAN	reviewed	Interleukin-23 subunit alpha (IL-23 subunit alpha) (IL-23-A) (Interleukin-23 subunit p19) (IL-23p19)	IL23A SGRF UNQ2498/PRO5798	Homo sapiens (Human)	189
OPCML	Q14982	OPCM_HUMAN	reviewed	Opioid-binding protein/cell adhesion molecule (OBCAM) (OPCML) (Opioid-binding cell adhesion molecule) (IgLON family member 1)	OPCML IGLON1 OBCAM	Homo sapiens (Human)	345
SLC1A2	P43004	EAA2_HUMAN	reviewed	Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2)	SLC1A2 EAAT2 GLT1	Homo sapiens (Human)	574
RGS6	P49758	RGS6_HUMAN	reviewed	Regulator of G-protein signaling 6 (RGS6) (S914)	RGS6	Homo sapiens (Human)	472
NPEPPS	P55786	PSA_HUMAN	reviewed	Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	NPEPPS PSA	Homo sapiens (Human)	919
KRT18	P05783	K1C18_HUMAN	reviewed	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	KRT18 CYK18 PIG46	Homo sapiens (Human)	430
AIFM1	O95831	AIFM1_HUMAN	reviewed	Apoptosis-inducing factor 1, mitochondrial (EC 1.6.99.-) (Programmed cell death protein 8)	AIFM1 AIF PDCD8	Homo sapiens (Human)	613
PRMT1	Q99873	ANM1_HUMAN	reviewed	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	PRMT1 HMT2 HRMT1L2 IR1B4	Homo sapiens (Human)	371
KIFAP3	Q92845	KIFA3_HUMAN	reviewed	Kinesin-associated protein 3 (KAP-3) (KAP3) (Smg GDS-associated protein)	KIFAP3 KIF3AP SMAP	Homo sapiens (Human)	792
WAPL	Q7Z5K2	WAPL_HUMAN	reviewed	Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor)	WAPL FOE KIAA0261 WAPAL	Homo sapiens (Human)	1190
LDHC	P07864	LDHC_HUMAN	reviewed	L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X)	LDHC LDH3 LDHX	Homo sapiens (Human)	332
ASIC2	Q16515	ASIC2_HUMAN	reviewed	Acid-sensing ion channel 2 (ASIC2) (Amiloride-sensitive brain sodium channel) (Amiloride-sensitive cation channel 1, neuronal) (Amiloride-sensitive cation channel neuronal 1) (Brain sodium channel 1) (BNC1) (BNaC1) (Mammalian degenerin homolog) (MDEG)	ASIC2 ACCN ACCN1 BNAC1 MDEG	Homo sapiens (Human)	512
HNRNPA2B1	P22626	ROA2_HUMAN	reviewed	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	353
SLITRK1	Q96PX8	SLIK1_HUMAN	reviewed	SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12)	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266	Homo sapiens (Human)	696
CSF1	P09603	CSF1_HUMAN	reviewed	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1]	CSF1	Homo sapiens (Human)	554
VDAC1	P21796	VDAC1_HUMAN	reviewed	Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM)	VDAC1 VDAC	Homo sapiens (Human)	283
LOX	P28300	LYOX_HUMAN	reviewed	Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]	LOX	Homo sapiens (Human)	417
TFAM	Q00059	TFAM_HUMAN	reviewed	Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)	TFAM TCF6 TCF6L2	Homo sapiens (Human)	246
SMN1,SMN2	Q16637	SMN_HUMAN	reviewed	Survival motor neuron protein (Component of gems 1) (Gemin-1)	SMN1 SMN SMNT; SMN2 SMNC	Homo sapiens (Human)	294
FXN	Q16595	FRDA_HUMAN	reviewed	Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN)]	FXN FRDA X25	Homo sapiens (Human)	210
IFRD1	O00458	IFRD1_HUMAN	reviewed	Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)	IFRD1	Homo sapiens (Human)	451
RAB5A	P20339	RAB5A_HUMAN	reviewed	Ras-related protein Rab-5A (EC 3.6.5.2)	RAB5A RAB5	Homo sapiens (Human)	215
DDIT3	P0DPQ6	DT3UO_HUMAN	reviewed	DDIT3 upstream open reading frame protein (Alternative DDIT3 protein) (AltDDIT3)	DDIT3	Homo sapiens (Human)	34
DDIT3	P35638	DDIT3_HUMAN	reviewed	DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153)	DDIT3 CHOP CHOP10 GADD153	Homo sapiens (Human)	169
SSTR4	P31391	SSR4_HUMAN	reviewed	Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R)	SSTR4	Homo sapiens (Human)	388
YWHAQ	P27348	1433T_HUMAN	reviewed	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	Homo sapiens (Human)	245
CP	P00450	CERU_HUMAN	reviewed	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)	CP	Homo sapiens (Human)	1065
MRAS	O14807	RASM_HUMAN	reviewed	Ras-related protein M-Ras (EC 3.6.5.2) (Ras-related protein R-Ras3)	MRAS RRAS3	Homo sapiens (Human)	208
CXCL13	O43927	CXL13_HUMAN	reviewed	C-X-C motif chemokine 13 (Angie) (B cell-attracting chemokine 1) (BCA-1) (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	CXCL13 BCA1 BLC SCYB13	Homo sapiens (Human)	109
CABIN1	Q9Y6J0	CABIN_HUMAN	reviewed	Calcineurin-binding protein cabin-1 (Calcineurin inhibitor) (CAIN)	CABIN1 KIAA0330	Homo sapiens (Human)	2220
RTN4	Q9NQC3	RTN4_HUMAN	reviewed	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)	RTN4 KIAA0886 NOGO My043 SP1507	Homo sapiens (Human)	1192
CYP27B1	O15528	CP27B_HUMAN	reviewed	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial (EC 1.14.15.18) (25-OHD-1 alpha-hydroxylase) (25-hydroxyvitamin D(3) 1-alpha-hydroxylase) (VD3 1A hydroxylase) (Calcidiol 1-monooxygenase) (Cytochrome P450 subfamily XXVIIB polypeptide 1) (Cytochrome P450C1 alpha) (Cytochrome P450VD1-alpha) (Cytochrome p450 27B1)	CYP27B1 CYP1ALPHA CYP27B	Homo sapiens (Human)	508
HDAC4	P56524	HDAC4_HUMAN	reviewed	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	HDAC4 KIAA0288	Homo sapiens (Human)	1084
CHIT1	Q13231	CHIT1_HUMAN	reviewed	Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)	CHIT1	Homo sapiens (Human)	466
PLA2G4A	P47712	PA24A_HUMAN	reviewed	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]	PLA2G4A CPLA2 PLA2G4	Homo sapiens (Human)	749
PDIA3	P30101	PDIA3_HUMAN	reviewed	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505
SIRT2	Q8IXJ6	SIR2_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	Homo sapiens (Human)	389
ST3GAL3	Q11203	SIAT6_HUMAN	reviewed	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6)	ST3GAL3 SIAT6	Homo sapiens (Human)	375
FTL	P02792	FRIL_HUMAN	reviewed	Ferritin light chain (Ferritin L subunit)	FTL	Homo sapiens (Human)	175
SNAP25	P60880	SNP25_HUMAN	reviewed	Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein)	SNAP25 SNAP	Homo sapiens (Human)	206
P4HB	P07237	PDIA1_HUMAN	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	P4HB ERBA2L PDI PDIA1 PO4DB	Homo sapiens (Human)	508
PADI4	Q9UM07	PADI4_HUMAN	reviewed	Protein-arginine deiminase type-4 (EC 3.5.3.15) (HL-60 PAD) (Peptidylarginine deiminase IV) (Protein-arginine deiminase type IV)	PADI4 PAD4 PADI5 PDI5	Homo sapiens (Human)	663
CHRNA4	P43681	ACHA4_HUMAN	reviewed	Neuronal acetylcholine receptor subunit alpha-4	CHRNA4 NACRA4	Homo sapiens (Human)	627
ANKS1B	Q7Z6G8	ANS1B_HUMAN	reviewed	Ankyrin repeat and sterile alpha motif domain-containing protein 1B (Amyloid-beta protein intracellular domain-associated protein 1) (AIDA-1) (E2A-PBX1-associated protein) (EB-1)	ANKS1B	Homo sapiens (Human)	1248
ATP7A	Q04656	ATP7A_HUMAN	reviewed	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	Homo sapiens (Human)	1500
ZFYVE26	Q68DK2	ZFY26_HUMAN	reviewed	Zinc finger FYVE domain-containing protein 26 (FYVE domain-containing centrosomal protein) (FYVE-CENT) (Spastizin)	ZFYVE26 KIAA0321	Homo sapiens (Human)	2539
TXNRD1	Q16881	TRXR1_HUMAN	reviewed	Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Gene associated with retinoic and interferon-induced mortality 12 protein) (GRIM-12) (Gene associated with retinoic and IFN-induced mortality 12 protein) (KM-102-derived reductase-like factor) (Thioredoxin reductase TR1)	TXNRD1 GRIM12 KDRF	Homo sapiens (Human)	649
PON2	Q15165	PON2_HUMAN	reviewed	Serum paraoxonase/arylesterase 2 (PON 2) (EC 3.1.1.2) (EC 3.1.1.81) (Aromatic esterase 2) (A-esterase 2) (Serum aryldialkylphosphatase 2)	PON2	Homo sapiens (Human)	354
CHRNA3	P32297	ACHA3_HUMAN	reviewed	Neuronal acetylcholine receptor subunit alpha-3	CHRNA3 NACHRA3	Homo sapiens (Human)	505
NR4A2	P43354	NR4A2_HUMAN	reviewed	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2 NOT NURR1 TINUR	Homo sapiens (Human)	598
PABPC1	P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP PABP1 PABPC2	Homo sapiens (Human)	636
MACROD2	A1Z1Q3	MACD2_HUMAN	reviewed	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425
SYNPO2	Q9UMS6	SYNP2_HUMAN	reviewed	Synaptopodin-2 (Genethonin-2) (Myopodin)	SYNPO2	Homo sapiens (Human)	1093
GLRA1	P23415	GLRA1_HUMAN	reviewed	Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit)	GLRA1	Homo sapiens (Human)	457
SUSD2	Q9UGT4	SUSD2_HUMAN	reviewed	Sushi domain-containing protein 2	SUSD2	Homo sapiens (Human)	822
AKT3	Q9Y243	AKT3_HUMAN	reviewed	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	Homo sapiens (Human)	479
PPM1D	O15297	PPM1D_HUMAN	reviewed	Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1)	PPM1D WIP1	Homo sapiens (Human)	605
TRPM2	O94759	TRPM2_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 2 (Estrogen-responsive element-associated gene 1 protein) (Long transient receptor potential channel 2) (LTrpC-2) (LTrpC2) (Transient receptor potential channel 7) (TrpC7) (Transient receptor potential melastatin 2)	TRPM2 EREG1 KNP3 LTRPC2 TRPC7	Homo sapiens (Human)	1503
PTH2R	P49190	PTH2R_HUMAN	reviewed	Parathyroid hormone 2 receptor (PTH2 receptor)	PTH2R PTHR2	Homo sapiens (Human)	550
SEMA6A	Q9H2E6	SEM6A_HUMAN	reviewed	Semaphorin-6A (Semaphorin VIA) (Sema VIA) (Semaphorin-6A-1) (SEMA6A-1)	SEMA6A KIAA1368 SEMAQ	Homo sapiens (Human)	1030
CNOT2	Q9NZN8	CNOT2_HUMAN	reviewed	CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2)	CNOT2 CDC36 NOT2 HSPC131 MSTP046	Homo sapiens (Human)	540
ADCYAP1	P18509	PACA_HUMAN	reviewed	Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)]	ADCYAP1	Homo sapiens (Human)	176
SFPQ	P23246	SFPQ_HUMAN	reviewed	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ PSF	Homo sapiens (Human)	707
IGFBP5	P24593	IBP5_HUMAN	reviewed	Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5)	IGFBP5 IBP5	Homo sapiens (Human)	272
RAB11A	P62491	RB11A_HUMAN	reviewed	Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8)	RAB11A RAB11	Homo sapiens (Human)	216
RBMS1	P29558	RBMS1_HUMAN	reviewed	RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1) (Suppressor of CDC2 with RNA-binding motif 2)	RBMS1 C2orf12 MSSP MSSP1 SCR2	Homo sapiens (Human)	406
PSAP	P07602	SAP_HUMAN	reviewed	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	PSAP GLBA SAP1	Homo sapiens (Human)	524
PSAP	Q8IWL1	SFPA2_HUMAN	reviewed	Pulmonary surfactant-associated protein A2 (PSP-A) (PSPA) (SP-A) (SP-A2) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-5)	SFTPA2 COLEC5 PSAP SFTP1 SFTPA SFTPA2B	Homo sapiens (Human)	248
PSAP	Q8IWL2	SFTA1_HUMAN	reviewed	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)	SFTPA1 COLEC4 PSAP SFTP1 SFTPA SFTPA1B	Homo sapiens (Human)	248
PSAP	Q9NZJ7	MTCH1_HUMAN	reviewed	Mitochondrial carrier homolog 1 (Presenilin-associated protein)	MTCH1 PSAP CGI-64 UNQ1871/PRO4314	Homo sapiens (Human)	389
GRM1	Q13255	GRM1_HUMAN	reviewed	Metabotropic glutamate receptor 1 (mGluR1)	GRM1 GPRC1A MGLUR1	Homo sapiens (Human)	1194
ADARB1	P78563	RED1_HUMAN	reviewed	Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase)	ADARB1 ADAR2 DRADA2 RED1	Homo sapiens (Human)	741
GPNMB	Q14956	GPNMB_HUMAN	reviewed	Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)	GPNMB HGFIN NMB UNQ1725/PRO9925	Homo sapiens (Human)	572
KCNMB2	Q9NPA1	KCMB3_HUMAN	reviewed	Calcium-activated potassium channel subunit beta-3 (BK channel subunit beta-3) (BKbeta3) (Hbeta3) (Calcium-activated potassium channel, subfamily M subunit beta-3) (Charybdotoxin receptor subunit beta-3) (K(VCA)beta-3) (Maxi K channel subunit beta-3) (Slo-beta-3)	KCNMB3 KCNMB2 KCNMBL	Homo sapiens (Human)	279
KCNMB2	Q9Y691	KCMB2_HUMAN	reviewed	Calcium-activated potassium channel subunit beta-2 (BK channel subunit beta-2) (BKbeta2) (Hbeta2) (Calcium-activated potassium channel, subfamily M subunit beta-2) (Charybdotoxin receptor subunit beta-2) (Hbeta3) (K(VCA)beta-2) (Maxi K channel subunit beta-2) (Slo-beta-2)	KCNMB2	Homo sapiens (Human)	235
SLC11A2	P49281	NRAM2_HUMAN	reviewed	Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2)	SLC11A2 DCT1 DMT1 NRAMP2 OK/SW-cl.20	Homo sapiens (Human)	568
TAF15	Q16514	TAF12_HUMAN	reviewed	Transcription initiation factor TFIID subunit 12 (Transcription initiation factor TFIID 20/15 kDa subunits) (TAFII-20/TAFII-15) (TAFII20/TAFII15)	TAF12 TAF15 TAF2J TAFII20	Homo sapiens (Human)	161
TAF15	Q92804	RBP56_HUMAN	reviewed	TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor) (TAF(II)68) (TAFII68) (RNA-binding protein 56)	TAF15 RBP56 TAF2N	Homo sapiens (Human)	592
GRIA1	P42261	GRIA1_HUMAN	reviewed	Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)	GRIA1 GLUH1 GLUR1	Homo sapiens (Human)	906
GRIA2	P42262	GRIA2_HUMAN	reviewed	Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)	GRIA2 GLUR2	Homo sapiens (Human)	883
BCL11A	Q9H165	BC11A_HUMAN	reviewed	B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856)	BCL11A CTIP1 EVI9 KIAA1809 ZNF856	Homo sapiens (Human)	835
CYP27A1	Q02318	CP27A_HUMAN	reviewed	Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)	CYP27A1 CYP27	Homo sapiens (Human)	531
GLRX5	Q86SX6	GLRX5_HUMAN	reviewed	Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)	GLRX5 C14orf87	Homo sapiens (Human)	157
MYO6	Q9UM54	MYO6_HUMAN	reviewed	Unconventional myosin-VI (Unconventional myosin-6)	MYO6 KIAA0389	Homo sapiens (Human)	1294
SEC16B	Q96JE7	SC16B_HUMAN	reviewed	Protein transport protein Sec16B (Leucine zipper transcription regulator 2) (Regucalcin gene promoter region-related protein p117) (RGPR-p117) (SEC16 homolog B)	SEC16B KIAA1928 LZTR2 RGPR SEC16S	Homo sapiens (Human)	1060
GSK3A	P49840	GSK3A_HUMAN	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
HNRNPH1	P31943	HNRH1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	449
CACNA1H	O95180	CAC1H_HUMAN	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2)	CACNA1H	Homo sapiens (Human)	2353
YWHAH	Q04917	1433F_HUMAN	reviewed	14-3-3 protein eta (Protein AS1)	YWHAH YWHA1	Homo sapiens (Human)	246
PCBP2	Q15366	PCBP2_HUMAN	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	PCBP2	Homo sapiens (Human)	365
GPX3	P22352	GPX3_HUMAN	reviewed	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	GPX3 GPXP	Homo sapiens (Human)	226
PLCG2	P16885	PLCG2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-2) (Phospholipase C-IV) (PLC-IV) (Phospholipase C-gamma-2) (PLC-gamma-2)	PLCG2	Homo sapiens (Human)	1265
CXCR5	P32302	CXCR5_HUMAN	reviewed	C-X-C chemokine receptor type 5 (CXC-R5) (CXCR-5) (Burkitt lymphoma receptor 1) (Monocyte-derived receptor 15) (MDR-15) (CD antigen CD185)	CXCR5 BLR1 MDR15	Homo sapiens (Human)	372
GGT5	P36269	GGT5_HUMAN	reviewed	Glutathione hydrolase 5 proenzyme (EC 3.4.19.13) (Gamma-glutamyl transpeptidase-related enzyme) (GGT-rel) (Gamma-glutamyltransferase 5) (GGT 5) (EC 2.3.2.2) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Glutathione hydrolase 5 heavy chain; Glutathione hydrolase 5 light chain]	GGT5 GGTLA1	Homo sapiens (Human)	586
GSE1	Q14687	GSE1_HUMAN	reviewed	Genetic suppressor element 1	GSE1 KIAA0182	Homo sapiens (Human)	1217
VPS35	Q96QK1	VPS35_HUMAN	reviewed	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	VPS35 MEM3 TCCCTA00141	Homo sapiens (Human)	796
MAP2	P11137	MTAP2_HUMAN	reviewed	Microtubule-associated protein 2 (MAP-2)	MAP2	Homo sapiens (Human)	1827
PDGFRL	Q15198	PGFRL_HUMAN	reviewed	Platelet-derived growth factor receptor-like protein (PDGFR-like protein) (PDGF receptor beta-like tumor suppressor)	PDGFRL PRLTS	Homo sapiens (Human)	375
CSNK1G3	Q9Y6M4	KC1G3_HUMAN	reviewed	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)	CSNK1G3	Homo sapiens (Human)	447
NT5C1A	Q9BXI3	5NT1A_HUMAN	reviewed	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (Cytosolic 5'-nucleotidase IA) (cN-I) (cN-IA)	NT5C1A	Homo sapiens (Human)	368
HK1	P19367	HXK1_HUMAN	reviewed	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	HK1	Homo sapiens (Human)	917
ZNF746	Q6NUN9	ZN746_HUMAN	reviewed	Zinc finger protein 746 (Parkin-interacting substrate) (PARIS)	ZNF746 PARIS	Homo sapiens (Human)	644
ATP5F1A	P25705	ATPA_HUMAN	reviewed	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)	553
HSPB8	Q9UJY1	HSPB8_HUMAN	reviewed	Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (E2-induced gene 1 protein) (Protein kinase H11) (Small stress protein-like protein HSP22)	HSPB8 CRYAC E2IG1 HSP22 PP1629	Homo sapiens (Human)	196
ADAMTSL1	Q8N6G6	ATL1_HUMAN	reviewed	ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1)	ADAMTSL1 ADAMTSR1 C9orf94 UNQ528/PRO1071	Homo sapiens (Human)	1762
CSPG4	Q6UVK1	CSPG4_HUMAN	reviewed	Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Melanoma chondroitin sulfate proteoglycan) (Melanoma-associated chondroitin sulfate proteoglycan)	CSPG4 MCSP	Homo sapiens (Human)	2322
GRM3	Q14832	GRM3_HUMAN	reviewed	Metabotropic glutamate receptor 3 (mGluR3)	GRM3 GPRC1C MGLUR3	Homo sapiens (Human)	879
