organism,pref_name,target_type,gene_target
Escherichia coli (strain K12),Putative reactive intermediate deaminase TdcF,SINGLE PROTEIN,AR
Escherichia coli (strain K12),tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,SINGLE PROTEIN,AR
Escherichia coli (strain K12),Uncharacterized protein YdfB,SINGLE PROTEIN,AR
Escherichia coli (strain K12),Uncharacterized protein YdiL,SINGLE PROTEIN,AR
Escherichia coli,Cell shape peptidoglycan synthetase penicillin-binding protein 2,SINGLE PROTEIN,AR
Mus musculus,Eukaryotic initiation factor 4A-I,SINGLE PROTEIN,AR
Mus musculus,Free fatty acid receptor 2,SINGLE PROTEIN,AR
Porphyromonas gingivalis,Arg-gingipain-1 proteinase,SINGLE PROTEIN,AR
Pseudomonas aeruginosa,Enoyl-[acyl-carrier-protein],SINGLE PROTEIN,AR
Rattus norvegicus,Potassium channel subfamily K member 10,SINGLE PROTEIN,AR
Triticum aestivum,Eukaryotic initiation factor 4A,SINGLE PROTEIN,AR
Bos taurus,Annexin A4,SINGLE PROTEIN,AR
Bos taurus,Annexin A5,SINGLE PROTEIN,AR
Rattus norvegicus,Neuropilin-1,SINGLE PROTEIN,AR
Rattus norvegicus,Free fatty acid receptor 4,SINGLE PROTEIN,AR
Rattus norvegicus,Free fatty acid receptor 2,SINGLE PROTEIN,AR
Mus musculus,Free fatty acid receptor 3,SINGLE PROTEIN,AR
Mus musculus,"MCG3105, isoform CRA_a",SINGLE PROTEIN,AR
Bos taurus,Beta-casein,SINGLE PROTEIN,AR
Escherichia coli,Toxin ParE,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin-like domain-containing CTD phosphatase 1,SINGLE PROTEIN,AR
Homo sapiens,Proteasome subunit beta type-10,SINGLE PROTEIN,AR
Homo sapiens,Sodium-dependent proline transporter,SINGLE PROTEIN,AR
Rattus norvegicus,Poly(ADP-ribose) glycohydrolase,SINGLE PROTEIN,AR
Mus musculus,Lysophosphatidic acid receptor 4,SINGLE PROTEIN,AR
Rattus norvegicus,Eukaryotic elongation factor 2 kinase,SINGLE PROTEIN,AR
Escherichia coli K-12,DNA topoisomerase 4 subunit B,SINGLE PROTEIN,AR
Rattus norvegicus,Transcription factor AP-1,SINGLE PROTEIN,AR
Homo sapiens,"Threonine--tRNA ligase, mitochondrial",SINGLE PROTEIN,AR
Homo sapiens,Sodium-dependent neutral amino acid transporter B(0)AT2,SINGLE PROTEIN,AR
Homo sapiens,Uncharacterized protein CSNK1G2-AS1,SINGLE PROTEIN,AR
Homo sapiens,RNA-binding protein EWS,SINGLE PROTEIN,AR
Homo sapiens,DNA damage-inducible transcript 3 protein,SINGLE PROTEIN,AR
Caenorhabditis elegans,D-aspartate oxidase 2,SINGLE PROTEIN,AR
Caenorhabditis elegans,D-aspartate oxidase 1,SINGLE PROTEIN,AR
Caenorhabditis elegans,D-aspartate oxidase 3,SINGLE PROTEIN,AR
Homo sapiens,Eukaryotic translation initiation factor 4E-binding protein 1,SINGLE PROTEIN,AR
Homo sapiens,"PARP 1, 2 and 3",PROTEIN FAMILY,AR
Pseudomonas aeruginosa,Topoisomerase IV,PROTEIN COMPLEX,AR
Homo sapiens,Solute carrier family 40 member 1,SINGLE PROTEIN,AR
Homo sapiens,"StAR-related lipid transfer protein 7, mitochondrial",SINGLE PROTEIN,AR
Homo sapiens,Collagen type IV alpha-3-binding protein,SINGLE PROTEIN,AR
Anopheles gambiae,AGAP002992-PA,SINGLE PROTEIN,AR
Homo sapiens,Krueppel-like factor 10,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin carboxyl-terminal hydrolase isozyme L5,SINGLE PROTEIN,AR
Homo sapiens,Ubl carboxyl-terminal hydrolase 18,SINGLE PROTEIN,AR
Homo sapiens,Neurogenic locus notch homolog protein 3,SINGLE PROTEIN,AR
Homo sapiens,Neurogenic locus notch homolog protein 2,SINGLE PROTEIN,AR
Homo sapiens,Neurogenic locus notch homolog protein 4,SINGLE PROTEIN,AR
Mus musculus,Protein-arginine deiminase type-4,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin carboxyl-terminal hydrolase 10,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin carboxyl-terminal hydrolase 13,SINGLE PROTEIN,AR
Mus musculus,Arachidonate 5-lipoxygenase-activating protein,SINGLE PROTEIN,AR
Mus musculus,Vasopressin V1a receptor,SINGLE PROTEIN,AR
Mus musculus,Endoplasmic reticulum aminopeptidase 1,SINGLE PROTEIN,AR
Homo sapiens,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",SINGLE PROTEIN,AR
Homo sapiens,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",SINGLE PROTEIN,AR
Homo sapiens,UDP-galactose translocator,SINGLE PROTEIN,AR
Homo sapiens,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",SINGLE PROTEIN,AR
Homo sapiens,Beta-ureidopropionase,SINGLE PROTEIN,AR
Homo sapiens,Proto-oncogene tyrosine-protein kinase receptor Ret /Nuclear receptor coactivator 4 fusion protein,CHIMERIC PROTEIN,AR
Homo sapiens,Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-beta,PROTEIN COMPLEX,AR
Homo sapiens,Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-alpha,PROTEIN COMPLEX,AR
Homo sapiens,GAR transformylase/AICAR transformylase,PROTEIN FAMILY,AR
Homo sapiens,Retinoic acid receptor alpha/Retinoid X receptor alpha,PROTEIN COMPLEX,AR
Homo sapiens,Ubiquitin carboxyl-terminal hydrolase 1/WD repeat-containing protein 48,PROTEIN COMPLEX,AR
Homo sapiens,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,CHIMERIC PROTEIN,AR
Homo sapiens,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET,CHIMERIC PROTEIN,AR
Homo sapiens,Aurora kinase B/Inner centromere protein,PROTEIN COMPLEX,AR
Homo sapiens,Serine/threonine-protein kinase Aurora,PROTEIN FAMILY,AR
Mus musculus,Arylacetamide deacetylase,SINGLE PROTEIN,AR
Homo sapiens,Arylacetamide deacetylase,SINGLE PROTEIN,AR
Rattus norvegicus,Arylacetamide deacetylase,SINGLE PROTEIN,AR
Bos taurus,Solute carrier organic anion transporter family member,SINGLE PROTEIN,AR
Homo sapiens,Equilibrative nucleoside transporter 4,SINGLE PROTEIN,AR
Rattus norvegicus,Nuclear receptor subfamily 1 group I member 3,SINGLE PROTEIN,AR
Oryctolagus cuniculus,Solute carrier family 15 member 1,SINGLE PROTEIN,AR
Homo sapiens,Equilibrative nucleoside transporter 2,SINGLE PROTEIN,AR
Homo sapiens,Flavin-containing monooxygenase,PROTEIN FAMILY,AR
Homo sapiens,Phenol sulfotransferase,PROTEIN FAMILY,AR
Homo sapiens,Aldehyde dehydrogenase,PROTEIN FAMILY,AR
Escherichia coli (strain K12),Bifunctional ligase/repressor BirA,SINGLE PROTEIN,AR
Pseudomonas aeruginosa,2-heptyl-4(1H)-quinolone synthase PqsD,SINGLE PROTEIN,AR
Homo sapiens,Peroxisome proliferator-activated receptor,PROTEIN FAMILY,AR
Homo sapiens,RAF serine/threonine protein kinase,PROTEIN FAMILY,AR
Homo sapiens,Cyclin-dependent kinase,PROTEIN FAMILY,AR
Homo sapiens,Cyclin-dependent kinase 12,SINGLE PROTEIN,AR
Homo sapiens,Neutral amino acid transporter B(0),SINGLE PROTEIN,AR
Homo sapiens,Protein arginine N-methyltransferase 7,SINGLE PROTEIN,AR
Klebsiella oxytoca,Carbapenem-hydrolyzing beta-lactamase KPC,SINGLE PROTEIN,AR
Homo sapiens,Mucin-16,SINGLE PROTEIN,AR
Homo sapiens,Vascular endothelial growth factor B,SINGLE PROTEIN,AR
Homo sapiens,Basigin,SINGLE PROTEIN,AR
Homo sapiens,Epithelial cell adhesion molecule,SINGLE PROTEIN,AR
Homo sapiens,Mucin-1,SINGLE PROTEIN,AR
Homo sapiens,T-cell receptor,PROTEIN COMPLEX,AR
Rattus norvegicus,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,SINGLE PROTEIN,AR
Rattus norvegicus,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,SINGLE PROTEIN,AR
Mus musculus,Estrogen-related receptor gamma,SINGLE PROTEIN,AR
Aedes aegypti,Sterol carrier protein 2,SINGLE PROTEIN,AR
Homo sapiens,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific",SINGLE PROTEIN,AR
Homo sapiens,Protein N-lysine methyltransferase METTL21A,SINGLE PROTEIN,AR
Mus musculus,Low molecular weight phosphotyrosine protein phosphatase,SINGLE PROTEIN,AR
Sus scrofa,3-hydroxy-3-methylglutaryl-coenzyme A reductase,SINGLE PROTEIN,AR
Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),Carbonic anhydrase,SINGLE PROTEIN,AR
Mus musculus,Tumor necrosis factor ligand superfamily member 11,SINGLE PROTEIN,AR
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Biotin--acetyl-CoA-carboxylase ligase,SINGLE PROTEIN,AR
Mus musculus,Alpha-ketoglutarate-dependent dioxygenase FTO,SINGLE PROTEIN,AR
Homo sapiens,Early growth response protein 1,SINGLE PROTEIN,AR
Rattus norvegicus,D-aspartate oxidase,SINGLE PROTEIN,AR
Mus musculus,D-aspartate oxidase,SINGLE PROTEIN,AR
Homo sapiens,Poly(A)-specific ribonuclease PARN,SINGLE PROTEIN,AR
Homo sapiens,CCR4-NOT transcription complex subunit 6,SINGLE PROTEIN,AR
Homo sapiens,Alpha-crystallin B chain,SINGLE PROTEIN,AR
Mus musculus,Lysophosphatidic acid receptor 1,SINGLE PROTEIN,AR
Thiomicrospira crunogena (strain XCL-2),"Carbonic anhydrase, alpha family",SINGLE PROTEIN,AR
Homo sapiens,RNA demethylase ALKBH5,SINGLE PROTEIN,AR
Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,SINGLE PROTEIN,AR
Rattus norvegicus,X-box-binding protein 1,SINGLE PROTEIN,AR
Oryctolagus cuniculus,L-type calcium channel alpha 1C/beta 2A,PROTEIN COMPLEX,AR
Homo sapiens,Rho GDP-dissociation inhibitor 1,SINGLE PROTEIN,AR
Rattus norvegicus,Urokinase plasminogen activator surface receptor,SINGLE PROTEIN,AR
Bos taurus,Sodium- and chloride-dependent glycine transporter 1,SINGLE PROTEIN,AR
Rattus norvegicus,Serine/threonine-protein kinase pim-3,SINGLE PROTEIN,AR
Homo sapiens,Acetyl-coenzyme A transporter 1,SINGLE PROTEIN,AR
Homo sapiens,Protein-arginine deiminase type-6,SINGLE PROTEIN,AR
Mus musculus,"5,6-dihydroxyindole-2-carboxylic acid oxidase",SINGLE PROTEIN,AR
Mus musculus,Beta-secretase 2,SINGLE PROTEIN,AR
Bos taurus,Microtubule-associated protein tau,SINGLE PROTEIN,AR
Homo sapiens,Mitochondrial amidoxime-reducing component 1,SINGLE PROTEIN,AR
Staphylococcus epidermidis,DNA topoisomerase 4,PROTEIN FAMILY,AR
Homo sapiens,Liver X receptor,PROTEIN FAMILY,AR
Homo sapiens,Liver X receptor (LXR alpha AND LXR beta),SELECTIVITY GROUP,AR
Staphylococcus aureus,Bifunctional ligase/repressor BirA,SINGLE PROTEIN,AR
Mus musculus,Lysine-specific demethylase 5A,SINGLE PROTEIN,AR
Homo sapiens,Peptidyl-prolyl cis-trans isomerase G,SINGLE PROTEIN,AR
Rattus norvegicus,Monoacylglycerol lipase ABHD12,SINGLE PROTEIN,AR
Rattus norvegicus,Monoacylglycerol lipase ABHD6,SINGLE PROTEIN,AR
Homo sapiens,ADP/ATP translocase 2,SINGLE PROTEIN,AR
Homo sapiens,AT-rich interactive domain-containing protein 4A,SINGLE PROTEIN,AR
Mus musculus,Beta-adrenergic receptor kinase 1,SINGLE PROTEIN,AR
Bos taurus,Beta-adrenergic receptor kinase 2,SINGLE PROTEIN,AR
Bos taurus,Beta-adrenergic receptor kinase 1,SINGLE PROTEIN,AR
Homo sapiens,Tumor necrosis factor receptor superfamily member 12A,SINGLE PROTEIN,AR
Homo sapiens,Solute carrier family 13 member 2,SINGLE PROTEIN,AR
Homo sapiens,Tenascin,SINGLE PROTEIN,AR
Homo sapiens,Intercellular adhesion molecule 3,SINGLE PROTEIN,AR
Homo sapiens,Parathyroid hormone-related protein,SINGLE PROTEIN,AR
Homo sapiens,Mesothelin,SINGLE PROTEIN,AR
Homo sapiens,Carcinoembryonic antigen-related cell adhesion molecule 5,SINGLE PROTEIN,AR
Homo sapiens,"5,6-dihydroxyindole-2-carboxylic acid oxidase",SINGLE PROTEIN,AR
Homo sapiens,Connective tissue growth factor,SINGLE PROTEIN,AR
Homo sapiens,Solute carrier family 13 member 3,SINGLE PROTEIN,AR
Homo sapiens,Granulocyte-macrophage colony-stimulating factor,SINGLE PROTEIN,AR
Homo sapiens,Epidermal growth factor-like protein 7,SINGLE PROTEIN,AR
Homo sapiens,Endosialin,SINGLE PROTEIN,AR
Homo sapiens,Choline transporter-like protein 4,SINGLE PROTEIN,AR
Homo sapiens,Teratocarcinoma-derived growth factor 1,SINGLE PROTEIN,AR
Homo sapiens,CD63 antigen,SINGLE PROTEIN,AR
Homo sapiens,Ovarian cancer G-protein coupled receptor 1,SINGLE PROTEIN,AR
Homo sapiens,Trace amine-associated receptor 5,SINGLE PROTEIN,AR
Homo sapiens,Vascular endothelial growth factor C,SINGLE PROTEIN,AR
Homo sapiens,Ecto-NOX disulfide-thiol exchanger 2,SINGLE PROTEIN,AR
Homo sapiens,Potassium channel subfamily K member 4,SINGLE PROTEIN,AR
Homo sapiens,Palmitoleoyl-protein carboxylesterase NOTUM,SINGLE PROTEIN,AR
Mus musculus,Relaxin receptor 2,SINGLE PROTEIN,AR
Rattus norvegicus,Hepatocyte nuclear factor 4-alpha,SINGLE PROTEIN,AR
Rattus norvegicus,G protein-activated inward rectifier potassium channel 4,SINGLE PROTEIN,AR
Mus musculus,Proteinase-activated receptor 2,SINGLE PROTEIN,AR
Rattus norvegicus,Urea transporter 2,SINGLE PROTEIN,AR
Rattus norvegicus,Urea transporter 1,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin carboxyl-terminal hydrolase 17,SINGLE PROTEIN,AR
Homo sapiens,CAAX prenyl protease 1 homolog,SINGLE PROTEIN,AR
Sulfurihydrogenibium sp. (strain YO3AOP1),Carbonate dehydratase,SINGLE PROTEIN,AR
Mus musculus,"Threonine--tRNA ligase, cytoplasmic",SINGLE PROTEIN,AR
Mus musculus,Eukaryotic initiation factor 4A-II,SINGLE PROTEIN,AR
Mus musculus,Eukaryotic initiation factor 4A-III,SINGLE PROTEIN,AR
Macaca fascicularis,Free fatty acid receptor 1,SINGLE PROTEIN,AR
Sus scrofa,Free fatty acid receptor 1,SINGLE PROTEIN,AR
Mus musculus,Palmitoleoyl-protein carboxylesterase NOTUM,SINGLE PROTEIN,AR
Trypanosoma brucei,Tryparedoxin peroxidase,SINGLE PROTEIN,AR
Homo sapiens,"Sodium/potassium/calcium exchanger 6, mitochondrial",SINGLE PROTEIN,AR
Mus musculus,Cytohesin-3,SINGLE PROTEIN,AR
Homo sapiens,Solute carrier family 13 member 5,SINGLE PROTEIN,AR
Mus musculus,Solute carrier family 13 member 5,SINGLE PROTEIN,AR
Rattus norvegicus,Solute carrier family 13 member 5,SINGLE PROTEIN,AR
Homo sapiens,Transcription intermediary factor 1-beta,SINGLE PROTEIN,AR
Homo sapiens,Sodium-dependent phosphate transport protein 1,SINGLE PROTEIN,AR
Homo sapiens,Sodium-dependent phosphate transport protein 2A,SINGLE PROTEIN,AR
Homo sapiens,Sodium-dependent phosphate transport protein 3,SINGLE PROTEIN,AR
Homo sapiens,Sodium bicarbonate cotransporter 3,SINGLE PROTEIN,AR
Mus musculus,Sodium bicarbonate cotransporter 3,SINGLE PROTEIN,AR
Homo sapiens,Lysine-specific demethylase 5B,SINGLE PROTEIN,AR
Homo sapiens,Lysine-specific demethylase 3B,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin-conjugating enzyme E2 B,SINGLE PROTEIN,AR
Mus musculus,Trace amine-associated receptor 5,SINGLE PROTEIN,AR
Homo sapiens,Heterogeneous nuclear ribonucleoprotein H,SINGLE PROTEIN,AR
Rattus norvegicus,Disks large homolog 4,SINGLE PROTEIN,AR
Rattus norvegicus,DNA damage-inducible transcript 3 protein,SINGLE PROTEIN,AR
Canis lupus familiaris,Voltage-gated sodium channel Nav1.5 cardiac isoform,SINGLE PROTEIN,AR
Mus musculus,Segment polarity protein dishevelled homolog DVL-1,SINGLE PROTEIN,AR
Rattus norvegicus,Potassium channel subfamily K member 2,SINGLE PROTEIN,AR
Homo sapiens,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",SINGLE PROTEIN,AR
Homo sapiens,"Glutaryl-CoA dehydrogenase, mitochondrial",SINGLE PROTEIN,AR
Homo sapiens,Protein NipSnap homolog 3A,SINGLE PROTEIN,AR
Pseudomonas sp. (strain AK-1),Gamma-butyrobetaine dioxygenase,SINGLE PROTEIN,AR
Homo sapiens,"Fatty acid-binding protein, brain",SINGLE PROTEIN,AR
Rattus norvegicus,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,SINGLE PROTEIN,AR
Mus musculus,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,SINGLE PROTEIN,AR
Homo sapiens,20S proteasome,PROTEIN COMPLEX,AR
Homo sapiens,Aminopeptidase,PROTEIN FAMILY,AR
Homo sapiens,HRAS-like suppressor 3,SINGLE PROTEIN,AR
Homo sapiens,Cardiac myosin,PROTEIN COMPLEX,AR
Homo sapiens,Sarcoplasmic/endoplasmic reticulum calcium ATPase,PROTEIN FAMILY,AR
Homo sapiens,Ribosomal protein S6 kinase,PROTEIN FAMILY,AR
Mus musculus,Glutamate NMDA receptor,PROTEIN COMPLEX GROUP,AR
Rattus norvegicus,Kir3.1/Kir3.4,PROTEIN COMPLEX,AR
Homo sapiens,"fructose-2,6-bisphosphatase 3/4",PROTEIN COMPLEX,AR
Mus musculus,Casein kinase 2,PROTEIN FAMILY,AR
Mus musculus,Tankyrase,PROTEIN FAMILY,AR
Homo sapiens,Tumor-associated calcium signal transducer 2,SINGLE PROTEIN,AR
Ascaris suum,Fumarate reductase,SINGLE PROTEIN,AR
Mus musculus,Nuclear receptor subfamily 4 group A member 2,SINGLE PROTEIN,AR
Rattus norvegicus,Sodium/hydrogen exchanger 3,SINGLE PROTEIN,AR
Mus musculus,Nuclear factor NF-kappa-B p100 subunit,SINGLE PROTEIN,AR
Homo sapiens,Fragile X mental retardation syndrome-related protein 1,SINGLE PROTEIN,AR
Sus scrofa,Arachidonate 5-lipoxygenase,SINGLE PROTEIN,AR
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),N-acetyltransferase Eis,SINGLE PROTEIN,AR
Mus musculus,SMAD1/5/9,PROTEIN COMPLEX,AR
Homo sapiens,Ubiquitin-conjugating enzyme E2 N/Ubiquitin-conjugating enzyme E2 variant 1,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Inhibitor of NF-kappa-B kinase alpha/beta,PROTEIN COMPLEX,AR
Homo sapiens,Aurora kinase A/B,PROTEIN FAMILY,AR
Homo sapiens,Aurora kinase A/Targeting protein for Xklp2,PROTEIN COMPLEX,AR
Homo sapiens,MDM2/MDMX-p53,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Axin-1/DVL-2,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,B-raf/RAF proto-oncogene serine/threonine-protein kinase,PROTEIN FAMILY,AR
Homo sapiens,Transforming protein RhoA/Rho-related GTP-binding protein RhoC,PROTEIN FAMILY,AR
Homo sapiens,Mu opioid receptor/Alpha-2A adrenergic receptor,PROTEIN COMPLEX,AR
Homo sapiens,Urokinase-type plasminogen activator/surface receptor,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase/Delta(24)-sterol reductase",PROTEIN FAMILY,AR
Rattus norvegicus,5'-AMP-activated protein kinase catalytic subunit alpha-1/beta-1/gamma-1,PROTEIN COMPLEX,AR
Homo sapiens,5'-AMP-activated protein kinase catalytic subunit alpha-2/beta-1/gamma-2,PROTEIN COMPLEX,AR
Rattus norvegicus,Acetyl-CoA carboxylase,PROTEIN FAMILY,AR
Homo sapiens,Acetyl-CoA carboxylase,PROTEIN FAMILY,AR
Homo sapiens,Adenosine receptor A1/Alpha-2A adrenergic receptor,PROTEIN COMPLEX,AR
Homo sapiens,Apoptosis regulator BAX/Bcl-2-related protein A1,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Aryl hydrocarbon receptor nuclear translocator/Endothelial PAS domain-containing protein 1,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Baculoviral IAP repeat-containing protein 2/Estrogen receptor,PROTEIN COMPLEX,AR
Homo sapiens,Baculoviral IAP repeat-containing protein 3/Mucosa-associated lymphoid tissue lymphoma translocation protein 1,CHIMERIC PROTEIN,AR
Homo sapiens,Bcl-2-like protein 11/Bcl-2-related protein A1,PROTEIN COMPLEX,AR
Homo sapiens,Thymidylate synthase/AICAR transformylase,PROTEIN FAMILY,AR
Homo sapiens,Thymidylate synthase/GAR transformylase/AICAR transformylase,PROTEIN FAMILY,AR
Mus musculus,Bile acid receptor/Retinoic acid receptor RXR-alpha,PROTEIN COMPLEX,AR
Homo sapiens,LKB1-STRAD-MO25 complex,PROTEIN COMPLEX,AR
Homo sapiens,Canalicular multispecific organic anion transporter 1/Solute carrier organic anion transporter family member 1B1,PROTEIN FAMILY,AR
Homo sapiens,Cellular tumor antigen p53/Death-associated protein kinase 1,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Cellular tumor antigen p53/Peptidyl-prolyl cis-trans isomerase D,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Cellular tumor antigen p53/Replication protein A 70 kDa DNA-binding subunit,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Dual specificity mitogen-activated protein kinase kinase 1/Mitogen-activated protein kinase 1/RAF proto-oncogene serine/threonine-protein kinase,PROTEIN FAMILY,AR
Homo sapiens,Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1)/RNA-binding protein EWS,CHIMERIC PROTEIN,AR
Homo sapiens,GTP-binding nuclear protein Ran/Importin subunit beta-1/Snurportin-1,PROTEIN COMPLEX,AR
Mus musculus,"Glutamate receptor ionotropic, NMDA 1/NMDA 2B",PROTEIN COMPLEX,AR
Homo sapiens,Histone acetyltransferase KAT2A/KAT2B,PROTEIN FAMILY,AR
Homo sapiens,Histone acetyltransferase p300/Hypoxia-inducible factor 1-alpha,PROTEIN COMPLEX,AR
Homo sapiens,Histone deacetylase 1/Nuclear receptor corepressor 2,PROTEIN COMPLEX,AR
Homo sapiens,Histone deacetylase 2/Nuclear receptor corepressor 2,PROTEIN COMPLEX,AR
Homo sapiens,Importin subunit beta-1/Snurportin-1,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,Kv channel-interacting protein 2/Potassium voltage-gated channel subfamily D member 3,PROTEIN COMPLEX,AR
Homo sapiens,Lysophosphatidic acid receptor 1/3,PROTEIN FAMILY,AR
Homo sapiens,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,CHIMERIC PROTEIN,AR
Homo sapiens,Nuclear receptor subfamily 4 group A member 2/Retinoic acid receptor RXR-alpha,PROTEIN COMPLEX,AR
Mus musculus,Plasminogen/Urokinase plasminogen activator surface receptor/Urokinase-type plasminogen activator,PROTEIN-PROTEIN INTERACTION,AR
Homo sapiens,PAC1-PAC2 complex,PROTEIN COMPLEX,AR
Homo sapiens,Retinoic acid receptor RXR-alpha/Retinoic acid receptor beta,PROTEIN COMPLEX,AR
Homo sapiens,Retinoic acid receptor RXR-alpha/Vitamin D3 receptor,PROTEIN COMPLEX,AR
Homo sapiens,Retinoic acid receptor RXR-alpha/gamma,PROTEIN COMPLEX,AR
Homo sapiens,Solute carrier family 12 member 2/member 5,PROTEIN COMPLEX,AR
Homo sapiens,Transcription factor ETV6/Tyrosine-protein kinase ABL1,CHIMERIC PROTEIN,AR
Escherichia coli,Beta-lactamase ,SINGLE PROTEIN,AR
Acinetobacter baumannii,Beta-lactamase OXA-23,SINGLE PROTEIN,AR
Homo sapiens,Cytosolic carboxypeptidase 2,SINGLE PROTEIN,AR
Rattus norvegicus,Sodium/hydrogen exchanger 2,SINGLE PROTEIN,AR
Rattus norvegicus,Free fatty acid receptor 3,SINGLE PROTEIN,AR
Homo sapiens,80S Ribosome,PROTEIN NUCLEIC-ACID COMPLEX,AR
Mus musculus,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",SINGLE PROTEIN,AR
Mus musculus,L-type calcium channel,PROTEIN FAMILY,AR
Cavia porcellus,L-type calcium channel,PROTEIN FAMILY,AR
Homo sapiens,Voltage-dependent L-type calcium channel alpha1C/alpha2delta/beta1b,PROTEIN COMPLEX,AR
Rattus norvegicus,Voltage-gated sodium channel,PROTEIN FAMILY,AR
Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),DNA terminase,PROTEIN COMPLEX,AR
Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",SINGLE PROTEIN,AR
Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315),DNA topoisomerase IV,PROTEIN COMPLEX,AR
Homo sapiens,Recombining binding protein suppressor of hairless,SINGLE PROTEIN,AR
Homo sapiens,ADP-sugar pyrophosphatase,SINGLE PROTEIN,AR
Rattus norvegicus,Beta-adrenergic receptor kinase 1,SINGLE PROTEIN,AR
Rattus norvegicus,Nuclear receptor ROR-beta,SINGLE PROTEIN,AR
Homo sapiens,Protein arginine N-methyltransferase 9,SINGLE PROTEIN,AR
Mus musculus,Ubiquitin-conjugating enzyme E2 D3,SINGLE PROTEIN,AR
Macaca mulatta,Carbonic anhydrase 1,SINGLE PROTEIN,AR
Homo sapiens,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,SINGLE PROTEIN,AR
Homo sapiens,Myosin-10,SINGLE PROTEIN,AR
Homo sapiens,Receptor-type tyrosine-protein phosphatase O,SINGLE PROTEIN,AR
Mus musculus,SRSF protein kinase 1,SINGLE PROTEIN,AR
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Probable lipase/esterase LipN,SINGLE PROTEIN,AR
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Probable esterase LipM,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin-conjugating enzyme E2 T,SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin-conjugating enzyme E2 D1,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,SINGLE PROTEIN,AR
Homo sapiens,Nucleolar GTP-binding protein 1,SINGLE PROTEIN,AR
Rattus norvegicus,Oxysterols receptor LXR-beta,SINGLE PROTEIN,AR
Homo sapiens,Inosine triphosphate pyrophosphatase,SINGLE PROTEIN,AR
Homo sapiens,ATP-dependent RNA helicase DDX39A,SINGLE PROTEIN,AR
Rattus norvegicus,Guanylate cyclase soluble subunit alpha-1,SINGLE PROTEIN,AR
Homo sapiens,"Probable leucine--tRNA ligase, mitochondrial",SINGLE PROTEIN,AR
Homo sapiens,Glycine--tRNA ligase,SINGLE PROTEIN,AR
Homo sapiens,Long-chain-fatty-acid--CoA ligase 5,SINGLE PROTEIN,AR
Homo sapiens,"Isoleucine--tRNA ligase, mitochondrial",SINGLE PROTEIN,AR
Mus musculus,C-X-C chemokine receptor type 2,SINGLE PROTEIN,AR
